시군명,학교구분명,공사립구분명,시설명,시설구분명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
고양시,대학교,사립,한국항공대학교,본교,,,,,
고양시,일반대학원,사립,한국항공대학교 대학원,본교,,,,,
고양시,전문대학,사립,농협대학교,본교,,,,,
고양시,특수대학원,사립,한국항공대학교 항공산업경영대학원,본교,,,,,
고양시,특수대학원,사립,한국항공대학교 항공경영대학원,본교,,,,,
과천시,각종학교(전문),사립,구세군사관학교,본교,,,,,
광주시,기능대학,사립,ICT폴리텍대학,본교,,,,,
광주시,대학교,사립,서울장신대학교,본교,,,,,
광주시,일반대학원,사립,서울장신대학교 일반대학원,본교,,,,,
광주시,전문대학,사립,동원대학교,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 전인치유선교대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 자연치유선교대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 예배찬양사역대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 영성심리치유대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 사회복지상담대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 교회음악대학원,본교,,,,,
광주시,특수대학원,사립,서울장신대학교 신학대학원,본교,,,,,
군포시,대학교,사립,한세대학교,본교,,,,,
군포시,일반대학원,사립,한세대학교 대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 공학대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 공공정책대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 경찰법무경영대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 경찰법무대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 휴먼서비스대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 예술대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 사회복지대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 스포츠경영대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 심리상담대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 영산신학대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 치료상담대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 피아노페다고지대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 간호복지대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 공연예술대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 보건융합대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 산업보안안전대학원,본교,,,,,
군포시,특수대학원,사립,한세대학교 합창지휘대학원,본교,,,,,
김포시,대학교,사립,중앙승가대학교,본교,,,,,
김포시,일반대학원,사립,중앙승가대학교 대학원,본교,,,,,
김포시,전문대학,사립,김포대학교,본교,,,,,
남양주시,전문대학,사립,경복대학교,본교,,,,,
남양주시,특수대학원,사립,경희대학교 평화복지대학원,본교,,,,,
동두천시,대학교,사립,신한대학교,본교,,,,,
동두천시,대학교,사립,한북대학교,본교,,,,,
동두천시,일반대학원,사립,신한대학교 일반대학원,본교,,,,,
